cat1,cat1_group,cat1_varname,encoding,notes
Race/ethnicity,Asian,phi_race_aic_asian,character,
Race/ethnicity,Black,phi_race_aic_black,character,
Detailed Asian race/ethnicity,Cambodian/Khmer,phi_race_aic_cambodian,character,
Detailed Asian race/ethnicity,Chinese,phi_race_aic_chinese,character,
Detailed Asian race/ethnicity,Filipino,phi_race_aic_filipino,character,
Race/ethnicity,Hispanic,phi_race_aic_his,character,
Detailed Asian race/ethnicity,Asian Indian,phi_race_aic_indian,character,
Detailed Asian race/ethnicity,Japanese,phi_race_aic_japanese,character,
Detailed Asian race/ethnicity,Korean,phi_race_aic_korean,character,
Race/ethnicity,NHPI,phi_race_aic_nhpi,character,
Race/ethnicity,Other,phi_race_aic_oth,character,
Detailed Asian race/ethnicity,Asian - other,phi_race_aic_asianother,character,
Detailed Asian race/ethnicity,Vietnamese,phi_race_aic_vietnamese,character,
Race/ethnicity,White,phi_race_aic_wht,character,
Race/ethnicity,AIAN,phi_race_eth7,character,
Race/ethnicity,Asian,phi_race_eth7,character,
Race/ethnicity,Black,phi_race_eth7,character,
Race/ethnicity,Hispanic,phi_race_eth7,character,
Race/ethnicity,Multiple,phi_race_eth7,character,
Race/ethnicity,NHPI,phi_race_eth7,character,
Race/ethnicity,White,phi_race_eth7,character,
Race/Ethnicity,AIAN,phi_race_eth8,character,
Race/Ethnicity,Asian,phi_race_eth8,character,
Race/Ethnicity,Black,phi_race_eth8,character,
Race/ethnicity,Hispanic,phi_race_eth8,character,
Race/Ethnicity,Multiple,phi_race_eth8,character,
Race/ethnicity,NHPI,phi_race_eth8,character,
Race/ethnicity,Oth/unk,phi_race_eth8,character,
Race/ethnicity,White,phi_race_eth8,character,
Ethnicity,Hispanic,phi_race_hisp,character,
Ethnicity,Non-Hispanic,phi_race_hisp,character,
Gender,Female,phi_sex,character,
Gender,Male,phi_sex,character,
Sexual orientation,Heterosexual,phi_sexorien_3,character,
Sexual orientation,LGB,phi_sexorien_3,character,
Sexual orientation,Not sure,phi_sexorien_3,character,
